opponent,run_name,checkpoint_iteration,overall,blue,orange,wins,losses,draws,games,checkpoint_path
CEIA,PPO_selfplay_baseline_teams,400,0.1,0.05,0.15,4,36,0,40,/nethome/tyang416/soccer-twos/ray_results/PPO_selfplay_baseline_teams/PPO_Soccer_36624_00000_0_2026-04-19_21-56-57/checkpoint_000400/checkpoint-400
CEIA,PPO_selfplay_reward_prog005_clear0,500,0.175,0.2,0.15,7,33,0,40,/nethome/tyang416/soccer-twos/ray_results/PPO_selfplay_reward_prog005_clear0/PPO_Soccer_1fff0_00000_0_2026-04-20_02-49-49/checkpoint_000500/checkpoint-500
CEIA,PPO_selfplay_reward_prog005_clear01,600,0.3,0.2,0.4,12,28,0,40,/nethome/tyang416/soccer-twos/ray_results/PPO_selfplay_reward_prog005_clear01/PPO_Soccer_78521_00000_0_2026-04-20_02-52-17/checkpoint_000600/checkpoint-600
CEIA,PPO_selfplay_reward_prog005_clear01_lr2p5em05_sgd10_mb128,300,0.225,0.2,0.25,9,31,0,40,/nethome/tyang416/soccer-twos/ray_results/PPO_selfplay_reward_prog005_clear01_lr2p5em05_sgd10_mb128/PPO_Soccer_37f8b_00000_0_2026-04-20_15-22-06/checkpoint_000300/checkpoint-300
Random,PPO_selfplay_baseline_teams,400,0.65,0.85,0.45,26,7,7,40,/nethome/tyang416/soccer-twos/ray_results/PPO_selfplay_baseline_teams/PPO_Soccer_36624_00000_0_2026-04-19_21-56-57/checkpoint_000400/checkpoint-400
Random,PPO_selfplay_reward_prog005_clear0,300,0.95,0.95,0.95,38,0,2,40,/nethome/tyang416/soccer-twos/ray_results/PPO_selfplay_reward_prog005_clear0/PPO_Soccer_1fff0_00000_0_2026-04-20_02-49-49/checkpoint_000300/checkpoint-300
Random,PPO_selfplay_reward_prog005_clear01,600,0.9,0.9,0.9,36,4,0,40,/nethome/tyang416/soccer-twos/ray_results/PPO_selfplay_reward_prog005_clear01/PPO_Soccer_78521_00000_0_2026-04-20_02-52-17/checkpoint_000600/checkpoint-600
Random,PPO_selfplay_reward_prog005_clear01_lr2p5em05_sgd10_mb128,500,0.6,0.5,0.7,24,7,9,40,/nethome/tyang416/soccer-twos/ray_results/PPO_selfplay_reward_prog005_clear01_lr2p5em05_sgd10_mb128/PPO_Soccer_37f8b_00000_0_2026-04-20_15-22-06/checkpoint_000500/checkpoint-500
