opponent,run_name,checkpoint_iteration,overall,blue,orange,wins,losses,draws,games,checkpoint_path
CEIA,PPO_seeded_historical_selfplay_reward_goal075_retreat125_scale6_lr1em04_sgd6_runE,2200,0.35,0.4,0.3,14,26,0,40,/nethome/tyang416/soccer-twos/ray_results/PPO_seeded_historical_selfplay_reward_goal075_retreat125_scale6_lr1em04_sgd6_runE/PPO_Soccer_43879_00000_0_2026-04-25_02-23-24/checkpoint_002200/checkpoint-2200
CEIA,PPO_seeded_historical_selfplay_reward_goal075_retreat125_scale6_lr2p5em05_sgd10_runD,3600,0.375,0.35,0.4,15,25,0,40,/nethome/tyang416/soccer-twos/ray_results/PPO_seeded_historical_selfplay_reward_goal075_retreat125_scale6_lr2p5em05_sgd10_runD/PPO_Soccer_6f382_00000_0_2026-04-25_02-17-28/checkpoint_003600/checkpoint-3600
CEIA,PPO_seeded_historical_selfplay_reward_goal075_retreat125_scale6_lr5em05_sgd6_runF,2400,0.4,0.5,0.3,16,24,0,40,/nethome/tyang416/soccer-twos/ray_results/PPO_seeded_historical_selfplay_reward_goal075_retreat125_scale6_lr5em05_sgd6_runF/PPO_Soccer_35812_00000_0_2026-04-25_02-23-01/checkpoint_002400/checkpoint-2400
CEIA,PPO_seeded_historical_selfplay_reward_goal075_retreat125_scale6_lr5em05_sgd6_runG,4600,0.775,0.75,0.8,31,9,0,40,/nethome/tyang416/soccer-twos/ray_results/PPO_seeded_historical_selfplay_reward_goal075_retreat125_scale6_lr5em05_sgd6_runG/PPO_Soccer_5d4ab_00000_0_2026-04-25_13-37-00/checkpoint_004600/checkpoint-4600
CEIA,PPO_seeded_historical_selfplay_reward_goal200_retreat250_scale6_lr5em05_sgd6_runH,4600,0.75,0.8,0.7,30,10,0,40,/nethome/tyang416/soccer-twos/ray_results/PPO_seeded_historical_selfplay_reward_goal200_retreat250_scale6_lr5em05_sgd6_runH/PPO_Soccer_654eb_00000_0_2026-04-25_14-27-20/checkpoint_004600/checkpoint-4600
CEIA,PPO_seeded_historical_selfplay_reward_prog005_clear005_lr2em05_sgd10_runA,4600,0.5,0.6,0.4,20,20,0,40,/nethome/tyang416/soccer-twos/ray_results/PPO_seeded_historical_selfplay_reward_prog005_clear005_lr2em05_sgd10_runA/PPO_Soccer_37473_00000_0_2026-04-23_00-52-22/checkpoint_004600/checkpoint-4600
