opponent,run_name,checkpoint_iteration,overall,blue,orange,wins,losses,draws,games,checkpoint_path
CEIA,PPO_historical_selfplay_baseline_lr5em05_sgd30,1200,0.025,0.05,0.0,1,39,0,40,/nethome/tyang416/soccer-twos/ray_results/PPO_historical_selfplay_baseline_lr5em05_sgd30/PPO_Soccer_19572_00000_0_2026-04-21_03-09-55/checkpoint_001200/checkpoint-1200
CEIA,PPO_historical_selfplay_reward_prog005_clear005_lr2em05_sgd10_seedrunA,1200,0.15,0.15,0.15,6,34,0,40,/nethome/tyang416/soccer-twos/ray_results/PPO_historical_selfplay_reward_prog005_clear005_lr2em05_sgd10_seedrunA/PPO_Soccer_90892_00000_0_2026-04-22_16-40-57/checkpoint_001200/checkpoint-1200
CEIA,PPO_historical_selfplay_reward_prog005_clear005_lr2em05_sgd10_seedrunC_ocp03,2200,0.225,0.35,0.1,9,31,0,40,/nethome/tyang416/soccer-twos/ray_results/PPO_historical_selfplay_reward_prog005_clear005_lr2em05_sgd10_seedrunC_ocp03/PPO_Soccer_04d1b_00000_0_2026-04-23_01-05-17/checkpoint_002200/checkpoint-2200
CEIA,PPO_historical_selfplay_reward_prog005_clear0_lr2em05_sgd10_seedrun0,4600,0.375,0.35,0.4,15,25,0,40,/nethome/tyang416/soccer-twos/ray_results/PPO_historical_selfplay_reward_prog005_clear0_lr2em05_sgd10_seedrun0/PPO_Soccer_83b04_00000_0_2026-04-21_14-04-18/checkpoint_004600/checkpoint-4600
CEIA,PPO_historical_selfplay_reward_prog005_clear0_lr5em05_sgd30,1200,0.15,0.25,0.05,6,34,0,40,/nethome/tyang416/soccer-twos/ray_results/PPO_historical_selfplay_reward_prog005_clear0_lr5em05_sgd30/PPO_Soccer_5752b_00000_0_2026-04-21_03-11-39/checkpoint_001200/checkpoint-1200
CEIA,PPO_historical_selfplay_reward_prog005_clear0_lr5em05_sgd30_updateInterval50,600,0.1,0.15,0.05,4,36,0,40,/nethome/tyang416/soccer-twos/ray_results/PPO_historical_selfplay_reward_prog005_clear0_lr5em05_sgd30_updateInterval50/PPO_Soccer_fd51d_00000_0_2026-04-22_02-03-31/checkpoint_000600/checkpoint-600
